millis,latitude,coord1,longitude,coord2,capacitive
5543653.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543677.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543704.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543731.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543756.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543783.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543808.0,4337.530833333333,nan,-7247.359666666666,nan,57.0
5543835.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543861.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543887.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543913.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543938.0,4337.530833333333,nan,-7247.359666666666,nan,56.0
5543965.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5543990.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544017.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544043.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544069.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544095.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544121.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544147.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544173.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544199.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544225.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544251.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544277.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544303.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544329.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544354.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544380.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544407.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544433.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544458.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544484.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544511.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544537.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544563.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544588.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544615.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544641.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
5544667.0,4337.530833333333,nan,-7247.359666666666,nan,60.0
